name_disease,pathway_id
Folate deficiency - Diagnosis and management,recGiUQAB0aj9m7Qw
Diabetic retinopathy - Diagnosis and management,recRr0h4IY01PVGXX
Diabetic neuropathy - Diagnosis and management,recpfgQMbGBHy2jJk
Diabetic nephropathy - Diagnosis and management,recFHGuoyiU4sB6Cf
Diabetic foot infection - Management,recnS20ak6unzYHB8
Diabetic foot infection - Diagnosis and investigation,recJIZ8V5JnXnd5AG
Diabetic foot - Management,reckYcXwhVXt9MGhG
Diabetic foot - Screening and investigation,recd7o9y0lVi20iFk
Community-acquired pneumonia - Investigation,recbfjEFIjdaWvNMQ
Bacterial vaginosis - Diagnosis and management,recFf3maIbYuEwBL0
Autoimmune pancreatitis - Management,recBQHfaO331bQCHw
Antiphospholipid syndrome - Investigation,recVg72B5xAKSmkq2
Anal squamous cell cancer - Diagnosis and management,rec6CcSZkgCcZXZpY
Allergic rhinitis - Diagnosis and management,recpZou32jaXuSPL1
Adhesive capsulitis - Diagnosis and management,rec09yU6bSUlY9hUf
Thrombotic thrombocytopenic purpura - Diagnosis and management,rechOtJhX6ty3TyoQ
Tinnitus - Diagnosis and management,recmmWdu0SCwaaqt4
Trichomonas vaginalis infection - Diagnosis and management,recFZjVaE6Y1aw71l
Tumor lysis syndrome - Management,recRnqmtPHaThCjbN
Tumor lysis syndrome - Prophylaxis,recbWoZmhLpKIGJfX
Urticaria - Management of chronic urticaria,recGruAbDEF30rSvs
Hepatic veno-occlusive disease - Diagnosis and management,recRsVf4Oz8Vu4cGr
Vertebral osteomyelitis - Diagnosis and management,recvu0bt8yYd5A3Nt
Vitamin B12 deficiency - Diagnosis and management,rec2JukHMXK9zDWXl
Von Willebrand disease - Management,recSoNWpO7tfRmPH2
Von Willebrand disease - Diagnosis,recB6SpejRdfxYEaG
Wernicke's encephalopathy - Diagnosis and management,recGds45VcCjo0loe
Constrictive pericarditis - Management,recnd1Qsruu6jq7xI
Constrictive pericarditis - Investigation,recPmblmh0x2H7HzN
Choledocholithiasis - Management,recvWULDauv1GxA0C
Bone metastasis - Management,rec8mYZWPbiWKa0FE
Acute diverticulitis - Counseling and follow-up,recgmPVITRdBDL3BS
Acute diverticulitis - Diagnosis and management,recjkmqxO3yrwhSAQ
Budd-Chiari syndrome - Diagnosis and management,recDAb2hhWDn2F3T2
Behavioral and psychological symptoms of dementia - Management,recZ3aWqH85nmanct
Acute bronchitis - Diagnosis and management,recHWvnYFM4uzof1Z
Acromegaly - Perioperative management,recNAlQqYKspDpFHP
Achalasia - Management and follow-up,recXjSPtQdOnYSi4C
Achalasia - Investigation,recaFhjUsvRg9A9pG
Infective endocarditis - Surgical management,recyzTUyj73XVeTEP
Systemic sclerosis - Chronic management,recDfp5xPVR7badS5
Sickle cell disease - Hydroxyurea therapy,recOPICqhvnPG2Xbe
Acute appendicitis - Hospital discharge,recZ5grhMnqaMZIMx
Acute appendicitis - Postoperative follow-up,recL7F1EUkhCA5kCw
Acute appendicitis - Preoperative risk assessment,recooGtEyv9gxW85e
Acute appendicitis - Emergency room evaluation,recXTk08zFJaYRb0m
Acute appendicitis - Postoperative orders,reco0mAGEFY2WNfq4
Acute appendicitis - Operative management,recOSd2rC7DAa1kSf
Acute appendicitis - Nonperative management,recEYsUbey3PbAIlY
Acute appendicitis - Antibiotic treatment,recrYanGocrkXIF8C
Acute appendicitis - As needed medications,recVgF9M7WjQB6hZq
