name,finding_id
Reported prior CAD,recunAUp8oADSmdRF
Reported prior myocardial infarction,recP6xrtuu3fsHNDz
Reported cerebrovascular disease,recAKDlNe8Ad8A4fi
Family history coronary artery disease,recdanGuQBjfcv3eH
Reported prior CABG,rec3FeJgaE1S41Tqr
Reported orthopedic disease,recIfH5DnwzdnkOeH
Reported pain below buttocks,recDE4ygEqw3qRaCF
Reported thigh pain,recFcnC9dXlDCyGhZ
Reported gluteal pain,recvw0qmZwemkdPib
Reported neurogenic claudication,recZFcd8yNgiSXYCY
Reported diabetes mellitus,recTjT5P3E4QnJcsP
Reported stroke,rec0ZkWcY67jnTchc
Reported prior transient ischemic attack,rec3OCnBGKTjVs1D9
Reported tick bite,recqCR5Pju7tLTC4s
Reported hip or knee prosthesis,recxCFBCFkUNqyAPT
Reported hip or knee prosthesis and skin infection,recNYJORwBWB7VGgg
Reported HIV-1 infection,recgXJW6BV01gUJjD
Reported taking >= 4 medications,rec2HYqN9p9gMbUgI
Reported taking psychotropic medication,recJLnoLtgMQ8XIH8
Reported dementia,recfCF5dquTu00xGE
Reported parkinson's disease,recZP4icrm2t7rLeK
Reported fall during previous year,recvmLo3nxa4fbZ6x
Reported self-perceived mobility problem,recidiShlYHURToC3
"Reported use of benzodiazepine, phenothiazine, or antidepressant",recZBsQFRySqLLUHF
Reported lower-extremity disability,recEmPOYmXa7XX3h0
Reported type A personality,rec9q6CTCK9tCQ6Iq
Reported fall in month prior to baseline,recVonOWG4qhVZj0M
Reported near-falls in past month (>= 2),recXV9vKFT4CV8j9S
Reported bed-bound state (>= 4 days in past month),recsICPzlcaXgPM13
Reported decline in health status in year prior to baseline,reco8xmiA7OsuuP0d
Reported physical impairment scale (>= 5/11),rec0cJSwYHjFvcuPU
Reported gastroesophageal reflux,recby4pWxpICV9AiG
Reported cryptomenorrhea,recoKCGlhhiCH9U1F
Reported raynaud's phenomenon,recUkvXkuA9AZNvFj
Reported anorgasmia,rec0gJ9SvFlHsqJeJ
Reported falls,rec0SFKBHvQXl0A17
Reported second trimester PV bleed,rec3lboHaJKwJ672P
Reported renal colic,rec5AviKV5DLUVmXB
Reported coagulopathy,rechFDUv5Azu0oCMM
Reported recurrent abortion,recLGe5FUnrnrqfIM
Reported lithium use,recLrgFk1UfJlUy2I
Recent history arterial vascular procedure,rece7HfZ4Z6ZatDwS
Exposure to intravenous iodine,recVB2wuGrl614oyq
Reported renal transplantation,recvWIiaotwAQxZpy
Reported fragility fracture,recgHVUe9ztHyleMA
Reported recurrent otitis,recWjqfkkiVOm8F0Y
Reported recurrent sinusitis,recjigQnMoOCk40qZ
Reported recurrent pneumonia,reczbmdz8xi7sOqG1
Reported recurrent abscess,recKbVCOHRAcHjr5j
Reported recurrent infections with Neisseria,recEnaszmVepteqm9
Not reported coronary artery disease,recfjeCzC8u9z97NT
Reported osteopenia,recapMo1NiL7Erz6u
Ankylosing spondylitis,recItMf8JCEStjzll
Reported crohn's disease,recXekk7GpwMeq21y
Reported ulcerative colitis,recRXsdur531iM6cR
Reported psoriasis,recGAgQe0Z5dKTMn9
Reported asthma,recMJ10TcNJYdgkYA
Reported giant cell arteritis,recvJsyp1Rw6klIRD
Reported polymyalgia rheumatica,recjBTCpFFK4Mg7eK
Reported cocaine use,recCvthIGUgIAimU5
Ehler-Danlos syndrome,recnfViA85BcnahLu
Reported headache,recErdxnwvtrQ7Pdk
Reported nausea,recArbAZVhOaELMoZ
Reported neck pain or neck stiffness,recP2v3GvHerw8LqB
Reported weight loss,recBjMiE6gVa03Zz6
Reported vomiting,recFO62IsW3LaeILd
Reported swollen lymph nodes,recbKXnljuHBFG4Jd
Reported joint pain,recftzqCqXjJS3Hic
Reported chronic watery diarrhea,recXAAh8vm1xumhw9
Oral ulcers,recFRJQ1lhC2x0UKf
Reported oral thrush,recqcraokbRttsJDM
Reported myalgia or arthralgia,recioRCY0tdEs6bUL
Reported night sweats,rec846nkunfQwjtb9
Reported fatigue,recs0IPEH1d3oDsp8
Reported genital ulcer,rec8837QqcpnvsvVY
Reported osteomyelitis,recTKcWwjJbNxXDqQ
Reported chills,rectT1Qhj34xRrMp1
Reported acute cough,rec70TSvjHA3Nygt1
Reported dyspnea,recRhvfTJQQ1HeKYc
Not reported prodromal chest pain,recigXhxNk3dqOW8F
Reported recent increase in abdominal girth,recHuDMHZpM7Z3kTO
Reported recent weight gain,recjh26ixrfEBjzjW
Reported ankle swelling,rec5qBt39fBFz8IuQ
Reported weight gain,rec1nguoiEBHUwNeM
Not reported cough,recjsQ6qWlrkV3hyN
Reported nasal congestion,recHgCX1Cu1yFQeov
Reported malaise,recjRkPlqMeHXO5hW
Reported sneezing,recn57QpXbOePPgzt
Reported lesion enlargement,recdp8nLVHp0dzoR0
Reported melena,recOyjUszE4OqMGcf
Reported epigastric pain,recttoQICdx66cNQD
Reported chest pain radiating to shoulder or chest pain radiating to both arms,rec4ANxqRUBzUkaA8
Reported chest pain radiating to right arm,recwHFmqg9HWI0Gpp
Reported parental suspicion of otitis media,rec8hOGdGM4EHeTMj
Reported ear rubbing,recs2BprWtsXc4NKM
Reported ear pain,recHpKpCyx66Filw3
Reported shuffling gait,recbHw3smH6N5RvqE
Reported bradykinesia,recKJvKcOOdVRIwWR
Reported loss of balance,recyBGxCU6zryA4Uu
Reported tremor,rec0N0M8akLrm6txe
Reported rigidity,rec8ZDTixaGpwWY7T
Reported magnan's sign,recMxANkLIomeaLcS
Reported sudden chest pain,recTehjt7zlaQxyRw
Reported tearing chest pain or ripping chest pain,recJ1Az41AWRjsVP7
Reported migrating chest pain,recf5QD5mkoR7XODU
Reported dysuria,recDocWTDHSwEzFV5
Reported urinary frequency,recvSaK9kxyBpHXJa
Reported vaginal discharge,reclU4uSTilsLp6jn
Reported vaginal irritation,recHdDZ61MDjQx7OK
Not reported vaginal odor,recN4MhQqJTphNfLX
Reported vaginal itching,rece7STkFWDBukMkE
Reported syncope,rec5PYsXs85KzYbjU
Reported asymmetric hearing loss,recipbObIUU8CFauf
Reported intermittent claudication,recxL2mg1UvQYALrt
Reported pleuritic chest pain relieved by sitting up,recyRhxjkOImNmvwZ
Reported chest pain on exertion,recyyPdAw9AtlZ44p
Reported nocturia,recz3fMWmyQjPx96s
Reported anosmia,recz4CpKUbbS7M2Ah
Reported polydipsia,reczEFEdff6QpOpfO
Reported deja vu sensation,recAOrEqsrTC5qpp6
Reported skin infection,recBmEnBlTG4ARLI8
Reported facial pressure,recCQ0DNKWPkZJDz8
Reported matutinal vertigo,recCTyeB0Gs0bhUcZ
Reported no presyncope in warm environments,recCCekDTx7HRAlXg
Reported no presyncope before loss of consciousness,recD4Pl1JXIbr0cb9
Reported anomia,recDj5xHWJQ9pOB9g
Reported confusion,recDl1KTD5xBgNiGC
Reported hoarseness,recERLqPeUYLWHS57
Reported no prodromal vertigo,recE1GuKq7FUB7f5l
Reported lower abdominal pain,recEh5UARtlHUxQ3O
Reported large appetite,recExNgMQf15kK9TY
Reported cloudy urine,recEGv0e4PoGs6D7f
Reported thirst,recF0VV86T7sVi72h
Reported low sex drive,recFqOEACYOctvuuQ
Reported occipital headache,recFrnV6O45TeHoYz
Reported photophobia,recFwxylrlAuFm5x9
Reported heat intolerance,recFFdCZvBuq7g7Tn
Reported provoked by stress,recGQg5m52ao1h7wV
Reported central cyanosis,recGWoXg4RI77oD6O
Reported bilateral glued eyes,rec8nE7MK3Z5jUwOi
Reported diplopia,rec8p8eX2ayksTFqb
Reported abnormal behavior,rec9Rgv6L396PqGVy
Reported exploding headache,rec95r2QRa9B7qlte
Reported patient thinks she is perimenopausal,recaZf2RgQmHo6r72
Reported urine malodor,recaonpLKbQaGAySZ
Reported urinary urgency,recaqzkVMufq51Mj8
Reported toothache,recayCfiQyXQurdC7
Reported projectile vomiting,recbqRfeCUA77EXpS
Reported chest pain radiating to shoulders or arms,recbtIllcfLdubB4n
Reported apathy,recbBop7deTnF1gwm
Reported orthopnea,recewxNyvoLhvYJwB
Reported loss of consciousness,recf29upm4i6rcck3
Reported paroxsymal nocturnal dyspnea,recf3WtRZGENK7ejd
Reported hearing loss,recgbamkEf6mzjzLo
Reported abdominal distension,recgRq4KRIClyqmN6
Reported restless sleep,recgTVZGWCfmHZmSm
Reported visual loss with floaters and flashes,recgyE5EcCnmGGo9a
Reported limb jerking,reciaWDK4QWnXqqOF
Reported hot flashes,reciq2eU7ihq7ldZQ
Reported patient thinks she is pregnant,reciwoqPPAdXL1lmP
Reported vaginal bleeding,recjBxTJIatzy77TP
Reported facial pain,reckf1AQ31QKjx0sB
Reported dysphagia,reckkqXAPTDZPj080
Reported localized back pain,reckkBaDW44EUwhwF
Reported glued eyes,reckv9XrjqzASM6yQ
Reported prodromal preoccupation,recldMqbfPg18WKku
Reported pain relieved by defecation,recmbUbEqUn7arIt3
Reported fever,recmQsuGO1naG9SMR
Reported feeling of incomplete evacuation after defecation,recmYqlP6YMT9s1v9
Reported loss of sweating,recn9F8Kl45X74Ryg
Reported sweating,recndTnVeSpZSPkbN
Reported menstrual irregularity,recnMgrUmozvyic2V
Reported calf or thigh pain,recocIcF8dGjPAsHK
Reported unusual posturing,reco2WKsfENPZnDz5
Reported no improvement with decongestants,recoqRsMABwz0TsFs
Reported no presyncopal warmth,recpKnI8GRF97oEF0
Reported exertional dyspnea,recp5pbAL5Zo4M9Mc
Reported prodromal hallucinations,recqVZBTY3RWXM7r2
Reported no presyncopal diaphoresis,recqr7x6jFSDSFfkZ
Reported dysphagia,recrZESZlDftoZoBb
Reported prodromal trembling,recrlQakAnPlJ49np
Reported postictal confusion,recrBmyJrroURMm8I
Reported cold intolerance,recsLRnQPwtV92WWL
Reported dysarthria after long period of speaking,recsiyKHzlmg9gQ6J
Reported scintillating scotoma,recsGSOrs7WoIjlmn
Reported pleuritic chest pain,rect5O3VjF5MgYIxZ
Reported food in mouth after swallowing,rectBiWlT8E2CfTCQ
Reported edema,recusY7rz00rZnJvT
Reported head turning,recvigkW746mcIdv9
Reported anorexia,recwNzJROZ3rQyhkt
Reported change in menstrual flow,recwRnLkhNBSdcrqX
Reported postictal headache,recw30OXVVUC3AVAB
Nasal speech,recwhLPIVvjtri7Pa
Reported loss of consciousness not remembered,recwGJS9FzIISCUHy
Reported arthralgia,recHgXWtwBmLLIGs4
Not reported prodromal palpitations,recHxzKtuLKAoCyZH
Reported no presyncopal nausea,recHGJE9vF1URSkFT
Reported hirsutism,recIpZot2uqn9Kd6t
Reported nasal obstruction,recIrNvf6jJJwJdWb
Reported slow movements,recJIhVDHBAoqDy9p
Reported chest pain radiating to back,recJkCDh2xf0rj7CZ
Reported witnessed unresponsiveness,recKbqb3c5vsrm4qP
Reported more frequent stools at onset of pain,recKPrR5ElxzpGT2N
Reported blurry vision,recLei8ll517k64eP
Reported purulent sputum,recLeDEjdifjURiFJ
Reported maxillary toothache,recLDyXLuZdVkYkmf
Reported acute onset neurologic deficits,recLE0WItTDRkX39C
Proctitis,recNkWfp7Ubd0tXYv
Reported cut tongue,recOq9IZNlw0a9wP5
Reported flank pain,recOCYflhlQVY5Jsi
Reported purulent nasal secretions,recP8hzBZIXh4LBOI
Reported abdominal pain followed by vomiting,recPmZSL8W89CIYlQ
Reported nervousness,recQ9eSF4KttBAVy5
Reported no typical symptoms,recQGXt7Dc0Z03vP6
Reported bone pain,recRmBFfG0p9H2EH4
Reported jaw claudication,recSEQQPiFNWjYpGm
Reported excessive crying,recSGt4Emwkt8Pmoq
Reported tearing chest pain,recTnAhmy7TvwooTh
Reported neck pain,recUbaZyWkY0Dr22N
Reported hematochezia,recUSQ6v8GrPOaBhi
Reported colicky abdominal pain,recUW9C4k1Wf7uZvz
Reported floaters and flashes,recUBGNA0fszStBME
Reported lethargy,recUDEmUGtjSn51SA
Reported weakness,recVwij5u1Sd8nypT
Reported poor appetite,recW8oLmHc5Y2UWJ4
Reported any pregnancy symptoms,recWIzncUa2Por5xz
Reported urinary incontinence,recYQSMC7BFfd3kFM
Reported unrecalled behaviors,recY4O9obzrUI3G14
Reported change in bowel habits,recZtY6zc0CFhjhWF
Reported delayed menses,rec0ZunLEqQoRIRwb
Reported temporal headache,rec0BBVOn9DPrg2Jr
Reported no similar pain previously,rec0FiGmLjQ9tTMyX
Not reported prodromal dyspnea,rec1rCID3bXVQ8Oy6
Reported feeding difficulty,rec28CDFZiHUF57VF
Reported poor articulation,rec2hJqwF94tZbLr9
Reported looser stools at onset of pain,rec48efuyBm9G7yNN
Reported abdominal pain relieved by vomiting,rec4bdlmo4XFgZShZ
Reported morning sickness,rec4FyF5OQQQuAedO
Reported throat tightness,rec5ube3rJygqJ8QJ
Reported colored discharge,rec6Q5B6UTlO1j7Na
Reported conjunctival burning,recGur8JVXHyG7Tey
Reported sudden visual loss,recoO1qiV07VA7X4F
Reported visual loss,recPHYKVZf8PW6CkE
Reported central vision loss,recWKYtJEO9k4UR0K
Reported peripheral vision loss,recXj5hXnXiPePpBe
Reported weak suck,recZMOM1ESqbA6ef0
Reported difficulty breastfeeding,rec0Vp1tDKmgU2QUE
Reported loss of appetite,recOiGBvnu74FQ5O2
Reported malaise or fatigue,recZxtqtPOmXhsoaE
Reported nausea or vomiting,recRxr7oTjF4nqnHL
Reported vomiting (>= 2 episodes),recbgJJYhaEQwvLzJ
Reported posttraumatic seizure,recnwhOcnJMQlMha0
Reported anterograde amnesia,recbSkO6mmWYvGHZz
Reported radiation to both arms,recHQdhcWQqD3Z2DF
Reported pain similar to prior ischemia,recSN6hPlyRCi10bO
Reported typical chest pain,rec70R2iSwyqFKCdl
Reported worse with exertion,rechLaBGjTDfOToLQ
Reported chest pain radiating to neck or jaw,recvvNakVxpDBpXCn
Reported recent episode of similar pain,recwbWZ7YZbxDrxHG
Reported chest pain radiating to left arm,recm4AFgS51bQQBad
Reported chest pain and diaphoresis,recBTpNSdwX0hMrYQ
Reported chest pain and dyspnea,recFdjeEIC9JrQQJD
Reported abrupt onset,rec6uLsDDOgYd6sPP
Reported chest pain relieved by nitroglycerin,recWUu47yXPYFkqTn
"Reported chest pain with ""typical"" radiation",recNFnodX6qScIyyZ
Reported burning chest pain,recEphUbzwDGt4Izh
Reported chest pain and nausea or vomiting,reccQANJuXvXEvfP7
Reported chest pain and palpitations,recdK6wxp10OBq6ip
Reported chest pain and syncope,recgLVTbWg7tGvpbB
Reported pleuritic pain,recCZYGuCzLgxpFHq
Reported SPAN scale,recsH86yS2zHjb4QG
Reported nocturnal choking or nocturnal gasping,recPSSrYFlkSDSXi9
Reported morning headache,recezNMVOLSoHjYZy
Reported nocturnal apnea,reclopklBu3LViVUU
Reported excessive daytime sleepiness,rec314926WDCbEBCY
Reported snoring,recdlzkrUxuWF7ldr
Reported snoring (for AHI >= 10),recx8YFvLj9mW3xPQ
Reported increasingly painful wound,recDioDV7JGs4wRVo
Reported foul-smelling wound,rec57WqtDgrDpUPWf
Reported bilateral buttock or leg pain,recc6r5wnjjhuOQQg
Reported no pain when seated,recFfuk9HlBdlzVOt
"Reported burning sensation around the buttocks, intermittent priapism associated with walking, or both",recgmUKVtyl5hv11y
Reported back pain relieved by bending forward,recwCc5kXushhDLAu
Reported back pain relieved by sitting,recjV6UClz7uaFkd4
Reported back pain worse when sitting,recER1TQxRHrhuMkv
Reported back pain worse when standing,rec2wVSZSvCYapkXN
Reported urinary disturbance,recxARlbZQpd6wyao
Reported numbness around genitalia,rec6ODWAsQbQz9yUZ
Reported numbness of soles of feet,recAEy9RQ3oPEpPVS
Reported treatment for symptoms needs to be repeated every year,rec11cc1oI5IvhA78
Reported wake up to urinate at night,recM9GbL4cqeTlr3K
Reported seizures accompanying neurologic deficit,rec9aht3tqJmCkMMQ
Reported acute onset of deficit,recJyt5T20ITJtmRX
Reported mucus in stools,recx4CUZ3S96vurdQ
Reported acute back pain,recubYE4Yvc7v3mUS
Reported dysuria or urinary frequency,recAdUMLc2TZ3P0de
Reported new urinary incontinence,rec2CGDmhEMLH0alX
Reported foul-smelling urine,recaEVdrJrr6NVk1d
Reported systemic symptoms,recuDPkVBcQFgfjbV
Reported myalgia,recZoTY6BZSINyNlc
Reported itching,rec6AhWXpjXRLL22t
Reported dysesthesia,recpmr0DpWvjYyh4a
Reported sweats,recRYBIuOd5nAXrXE
Reported rigors,recpOoGaK7cmCARIe
Reported headache with aura,rec33Lo4tsj3xCKDB
Reported headache and focal symptoms,recvX8pFUFXJ8tCZt
Reported headache and vomiting,recUTHm0LdZWlDE57
Reported worsening headache,rec5sk3nY90g3LzwH
Reported rapid-onset headache,recuKjWkJgLpIDQRV
Reported new headache,recdDRu4245HjmNCs
Reported headache and nausea,rec1LpAyE3g25cCaa
Reported migraine-type headache,rectGcWjDGul73kCS
Reported cold leg,recYZQ3uffbXtk2Ak
Wounds or sores,recgx9rXqiHALDDGC
Reported dysarthria,recy1mj231A15kUFS
Reported dyspareunia,recA7w5FTWYk4sdlj
Reported polyuria,recBRM8kadeBMFMm6
Reported infertility,recCPAvnyrtZjM5Go
Reported akathisia,recFQ15pAeghm30ur
Reported ankle pain,rec7dsNKUZ15AAK0b
Amaurosis fugax,rec896WV0YuPg7gw7
Reported muscle weakness,rec9lHWj0eH0w64I1
Reported pain insensitivity,recakVg4v0I3HdnpL
Reported wrist pain,recbhupCQLy3eYA2U
Reported leg pain,reccFSFcGBYVKlI4p
Reported eye pain,recl4IaSjx3IqRMCI
Reported abdominal pain,recnHMQa8hvh2kgXT
Reported foot pain,recoIuOXzvRuEkJ7x
Reported dry mouth,rectHYXGKSbWDCByD
Reported tic,rectOlkI31RMQ0Myg
Reported hemoptysis,recwh2nFEFodFuh5i
Reported visual hallucinations,recwDkdl8wqxeGuMC
Reported chest pain,recKclxnlvtOak8JB
Reported hip pain,recL2p4CiPvaYkHDy
Reported nosebleed,recQt4s92TNMmZhF9
Reported priapism,recRKSdjwd1E9lAhu
Reported claudication of limb,recVcN03SRmuGLDWg
Reported shoulder pain,recVAb1QBDLWfMEzI
Reported calf pain,recWscoGxiOpcKUVE
Reported hematospermia,recY2w829NOHOmepl
Reported nausea and vomiting,recZCh4PH4r2TMocj
Reported elbow pain,rec1FKjaiwgxXzUAq
Reported hallucinations,rec2SFJu0hfC8ksy9
Reported rib pain,rec2T40cs8Lt9ciX4
Reported anal itching,rec2DWm9MyEIl36s5
Reported penis pain,rec35BQUIjH0swwg4
Reported knee pain,rec3pXRpJ3aLGiqeV
Reported palpitations,rec3y9SlywQDI7Tka
Reported dysmenorrhea,rec45WlQalzbMJDq5
Reported tenesmus,rec53k8m1XROoRDps
Reported photopsia,rec6ZK99UA1ZphX7v
Reported tinnitus,rec6vdGpPGoFUpbCY
Reported hallucination,recxGPcfTCjAX00dZ
Reported paresthesia,recyZAhFZXwDB4Mak
Reported amenorrhea,recyGdE7QtErhAh6J
Reported convulsion,reczZnTVzugpTT09E
Reported chorea,recAH0CySRYflPbpH
Reported acalculia,recBn6LSwa2Dks19l
Reported vaginal bleeding in late pregnancy,recCq74Gzc3UJKvdi
Reported deformity,recDYWKBV5zDDn9OD
Reported insomnia,recD1EJ95rtZJL1M7
Reported otalgia,recEIsWtjyBpvIkVl
Reported odynophagia,recGtdwZGSpeSt2Dx
Reported platypnea,rec7FabIGj6Mwtmke
Reported steatorrhea,recaX5zbS21PVIP7V
Reported homicidal ideation,recaq12XdroFViywf
Reported mania,recbWM7h5Q2h37GPN
Reported dizziness or vertigo,reccLRPDYiujoU7GU
Reported retrograde ejaculation,recdTedkNm6VLboBZ
Reported hematuria,receI16gIay58jexk
Reported aphasia and apraxia,receLysMj8OjePsAr
Reported pelvic pain,rece6I0wDjNJUDi5T
Reported nasal discharge,recfzspFuCqBVNClZ
Reported anxiety,recfALYNUimvQZlCs
Reported euphoria,recgN83ipnAx8pwxT
Reported akinesia,recgoI0iznlEbo4VY
Reported fecal incontinence,rechVUtyB7HfJ4HEW
Reported sciatica,reci7NGh0r5PuMFHo
Reported heartburn,reciD3rLn0waMgEJu
Reported paranoid ideation,recjgdNaiGosSG2Tk
Reported rectal tenesmus,recjghUxFr0ey5IfE
Reported bleeding into the skin,recjhL9T21dIUWuh6
Skin blisters,recjvBtI2Px6m5Ryh
Reported throat pain,recl95TVQH8XOYefK
Reported athetosis,reclYQnlO4MtxQPNS
Reported pulmonary,recl1q3o47D6O4dvf
Reported muscle cramps,recls1qOddlBlDYnt
Reported painful intercourse,reclCpblHqUhpelvr
Reported amnesia,reclGPRSTd8Asethj
Reported anosognosia,recnglEnZm96KJkmT
Reported prosopagnosia,recnqYMN85MdkHqQc
Reported apraxia,recoHBw5s4jEEJ08K
Reported pyrosis,recpfpTNAjMQntxyq
Reported mydriasis or miosis,recpZ9lLjk6s50bWv
Reported confabulation,recp6igNNNdTmJrYs
Reported discharge,recpqudXzDU1aWnzk
Reported somnolence,recrbTsOQdhaUi7ZE
Reported impotence,recrCOXDn8PbJozTF
Reported abnormal posturing,recsNzlPJmrk6mTBF
Reported alexia,recs3qAkSqVrQrd6a
Reported anasarca,recvXiAEx4KJ10euW
Reported trepopnea,recvhePKTTcYlGJYg
Reported abrasion,recw7UAc3ufq7RmXF
Reported flatulence,recwnfsSLIQS1GGzN
Reported dysdiadochokinesia,recILo3LKz47erVYw
Reported petechia,recJuVSuZhcTHVPtk
Reported dystonia,recMD3uqSZwDjr8EJ
Reported anhedonia,recNfcJfw3k7HqMKE
Reported urinary retention,recNNaRGp2P142Yvp
Reported hypoventilation,recNUVUoLDzpdu1PO
Reported dysgraphia,recN35RVPKLtcJQrQ
Reported abnormal vaginal bleeding,recO8DNyXHxP3AnoF
Reported asthenia,recOF7g432QCKFNko
Reported paralysis and paresis,recPPJlWLTPtLCYdm
Reported delusion,recQZjv1z2ERyyYZ8
Reported agnosia,recRsLAiTSYIUVBHU
Reported rheumatologic,recSGSqWu3H0XmupU
Reported urethral discharge,recT0oWjo48Y17ZbT
Reported bradypnea and tachypnea,recUHmX0jpXAPEBvH
Reported claudication,recUYGzWTXZfIy1nA
Reported flapping tremor,recUieSYuFuatnNtG
Reported arrhythmia,recUD3Wlf9DoL2nzU
Reported swelling,recUFEZtXvIBKvak2
Reported laceration,recVMnIOFvVWFjuft
Reported sputum production,recVtkw4wFhg8rHmp
Reported vaginal bleeding in early pregnancy,recWtlnPPxtukIPT9
Reported bloating,recWBnf3Ueaf2MNcJ
Reported amusia,recYuBxQYthlM3FjO
Reported proctalgia fugax,recZUHKHLQLwRsemJ
Reported belching,rec0j27O00MEAoIBf
Reported hypothermia,rec0u8nsSclH2F02l
Reported suicidal ideation,rec2OKYPLR4eWscOA
Reported ballismus,rec2TvSDCaDCQfsXZ
Reported irritability,rec3k8pAlMvcpoeBY
Reported dyspepsia,rec4Zdrh2gomgv9F9
Reported easy bruising,rec6k2RremXWzSEOs
Reported obstipation,recFhmtWWVXJrFx2O
Reported gait disorder,recaOgdEcae44No1k
Reported acute visual disturbance,reckqYmCxb7lXvSdJ
Reported dizziness,reclRD77rGZrgOhqF
Reported sleeping disorder,recl1YahnkMsowMmw
Reported expectoration,recnJDYyyEklMHhaG
Reported leg swelling,recpYasV5fDlF0IOr
Reported skin rash,rectrgG7kkcMSbUr1
Reported arm pain,recJsxGbJWhCoGv49
Reported new hearing loss,recLP0L1deHtUB2WC
Reported paralysis,recQsDn2zPI2BDMqY
Reported numbness,recURCg63X32dH1B7
Reported joint swelling,rec2avdpq2JWxM2hZ
Reported diffuse aches and pains,recxLdj7pxtdMeudk
Reported lower urinary symptoms,recB9eZwKUrVk1cEa
Reported abdominal cramps,rec71t01J4FOlKtYB
Reported right lower quadrant abdominal pain,rec9O2cifsN9qyEmo
Reported rhinorrhea,rec9vhXASyzdelPYe
Reported chronic diarrhea,rec9x44kXzQrtsLKN
Reported periumbilical abdominal pain,recbdpC2wP30EjRI1
